
(base) C:\Users\Sammie>cd C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>conda activate base

(base) C:\Users\Sammie\Documents\Northwest\44-671\Module 06\streaming-06-smart-smoker>python bbq_producer.py
Would you like to monitor RabbitMQ queues? y or n y


 [x] Sent b'[5/22/2021 12:20, 84.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:20, 84.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:21, 87.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:21, 87.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:22, 86.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:22, 86.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:23, 92]' to 01-smoker
 [x] Sent b'[5/22/2021 12:23, 92]' to 01-smoker
 [x] Sent b'[5/22/2021 12:24, 96.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:24, 96.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:25, 100.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:25, 100.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:25, 100.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:26, 104.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:26, 104.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:27, 108.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:27, 108.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:28, 111.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:28, 111.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:29, 114.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:29, 114.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:30, 116.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:30, 116.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:31, 119.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:31, 119.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:32, 120.1]' to 01-smoker
 [x] Sent b'[5/22/2021 12:32, 120.1]' to 01-smoker
 [x] Sent b'[5/22/2021 12:33, 106.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:33, 106.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:34, 103.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:34, 103.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:35, 105.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:35, 105.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:36, 106.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:36, 106.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:37, 111.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:37, 111.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:38, 114.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:38, 114.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:39, 115.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:39, 115.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:40, 112.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:40, 112.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:41, 118.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:41, 118.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:42, 113.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:42, 113.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:43, 126.7]' to 01-smoker
 [x] Sent b'[5/22/2021 12:43, 126.7]' to 01-smoker
 [x] Sent b'[5/22/2021 12:44, 130]' to 01-smoker
 [x] Sent b'[5/22/2021 12:44, 130]' to 01-smoker
 [x] Sent b'[5/22/2021 12:45, 130]' to 01-smoker
 [x] Sent b'[5/22/2021 12:45, 130]' to 01-smoker
 [x] Sent b'[5/22/2021 12:46, 137.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:46, 137.3]' to 01-smoker
 [x] Sent b'[5/22/2021 12:47, 139.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:47, 139.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:48, 141.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:48, 141.8]' to 01-smoker
 [x] Sent b'[5/22/2021 12:49, 143.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:49, 143.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:50, 145]' to 01-smoker
 [x] Sent b'[5/22/2021 12:50, 145]' to 01-smoker
 [x] Sent b'[5/22/2021 12:51, 146.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:51, 146.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:52, 147.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:52, 147.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:53, 148.7]' to 01-smoker
 [x] Sent b'[5/22/2021 12:53, 148.7]' to 01-smoker
 [x] Sent b'[5/22/2021 12:54, 149.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:54, 149.9]' to 01-smoker
 [x] Sent b'[5/22/2021 12:55, 151.1]' to 01-smoker
 [x] Sent b'[5/22/2021 12:55, 151.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:55, 151.2]' to 01-smoker
 [x] Sent b'[5/22/2021 12:56, 152.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:56, 152.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:57, 153.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:57, 153.4]' to 01-smoker
 [x] Sent b'[5/22/2021 12:58, 154.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:58, 154.5]' to 01-smoker
 [x] Sent b'[5/22/2021 12:59, 155.6]' to 01-smoker
 [x] Sent b'[5/22/2021 12:59, 155.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:00, 156.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:00, 156.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:01, 157.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:01, 157.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:02, 158.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:02, 158.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:03, 159.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:03, 159.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:04, 160.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:04, 160.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:05, 161.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:05, 161.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:06, 163.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:06, 163.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:07, 164.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:07, 164.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:08, 165.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:08, 165.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:09, 166.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:09, 166.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:10, 167.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:10, 167.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:11, 168.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:11, 168.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:12, 170.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:12, 170.2]' to 01-smoker
 [x] Sent b'[5/22/2021 13:13, 171.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:13, 171.7]' to 01-smoker
 [x] Sent b'[5/22/2021 13:14, 173.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:14, 173.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:15, 174.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:15, 174.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:16, 175.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:16, 175.5]' to 01-smoker
 [x] Sent b'[5/22/2021 13:17, 176.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:17, 176.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:18, 177.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:18, 177.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:19, 178.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:19, 178.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:20, 180.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:20, 180.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:21, 181.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:21, 181.4]' to 01-smoker
 [x] Sent b'[5/22/2021 13:22, 182.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:22, 182.6]' to 01-smoker
 [x] Sent b'[5/22/2021 13:23, 183.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:23, 183.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:24, 184.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:24, 184.8]' to 01-smoker
 [x] Sent b'[5/22/2021 13:25, 186]' to 01-smoker
 [x] Sent b'[5/22/2021 13:25, 186]' to 01-smoker
 [x] Sent b'[5/22/2021 13:26, 187.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:26, 187.1]' to 01-smoker
 [x] Sent b'[5/22/2021 13:27, 211.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:27, 211.9]' to 01-smoker
 [x] Sent b'[5/22/2021 13:28, 215.3]' to 01-smoker
 [x] Sent b'[5/22/2021 13:28, 215.3]' to 01-smoker
